Descritpion_ID,Top_20_Image_IDs
152.txt,1059.jpg 821.jpg 1084.jpg 768.jpg 1475.jpg 1023.jpg 1344.jpg 1482.jpg 1421.jpg 904.jpg 649.jpg 323.jpg 1094.jpg 15.jpg 1665.jpg 3.jpg 1437.jpg 696.jpg 1208.jpg 979.jpg
901.txt,248.jpg 1390.jpg 1104.jpg 1829.jpg 551.jpg 277.jpg 195.jpg 241.jpg 710.jpg 327.jpg 1947.jpg 1766.jpg 1467.jpg 1946.jpg 1884.jpg 1666.jpg 1747.jpg 1244.jpg 1993.jpg 300.jpg
1609.txt,1105.jpg 359.jpg 1738.jpg 1131.jpg 1698.jpg 1135.jpg 586.jpg 375.jpg 942.jpg 949.jpg 1136.jpg 721.jpg 484.jpg 594.jpg 1924.jpg 983.jpg 736.jpg 1561.jpg 1420.jpg 1238.jpg
501.txt,1233.jpg 1668.jpg 1569.jpg 311.jpg 1205.jpg 1064.jpg 162.jpg 1957.jpg 436.jpg 142.jpg 900.jpg 537.jpg 621.jpg 1779.jpg 1977.jpg 316.jpg 604.jpg 741.jpg 1281.jpg 1452.jpg
517.txt,855.jpg 1531.jpg 462.jpg 1649.jpg 533.jpg 1419.jpg 1055.jpg 1332.jpg 876.jpg 490.jpg 27.jpg 596.jpg 889.jpg 1293.jpg 178.jpg 1266.jpg 424.jpg 1958.jpg 520.jpg 1687.jpg
1516.txt,1290.jpg 1022.jpg 1711.jpg 1210.jpg 1363.jpg 415.jpg 183.jpg 1832.jpg 1875.jpg 560.jpg 1190.jpg 1123.jpg 1616.jpg 591.jpg 1534.jpg 1772.jpg 1703.jpg 54.jpg 1078.jpg 932.jpg
1822.txt,910.jpg 217.jpg 156.jpg 897.jpg 583.jpg 908.jpg 1096.jpg 1758.jpg 1275.jpg 1655.jpg 1289.jpg 718.jpg 1940.jpg 977.jpg 555.jpg 535.jpg 1444.jpg 655.jpg 1458.jpg 1465.jpg
1993.txt,751.jpg 875.jpg 1784.jpg 65.jpg 1590.jpg 851.jpg 1861.jpg 874.jpg 613.jpg 1675.jpg 1091.jpg 608.jpg 1081.jpg 839.jpg 1619.jpg 1908.jpg 1391.jpg 635.jpg 1326.jpg 801.jpg
405.txt,1286.jpg 1410.jpg 723.jpg 50.jpg 698.jpg 1627.jpg 1521.jpg 1047.jpg 92.jpg 1053.jpg 599.jpg 93.jpg 1836.jpg 246.jpg 202.jpg 226.jpg 1522.jpg 305.jpg 541.jpg 1980.jpg
1718.txt,1906.jpg 456.jpg 437.jpg 1752.jpg 303.jpg 675.jpg 662.jpg 1909.jpg 928.jpg 993.jpg 1998.jpg 625.jpg 1464.jpg 1405.jpg 1067.jpg 393.jpg 272.jpg 97.jpg 1493.jpg 254.jpg
874.txt,439.jpg 1813.jpg 544.jpg 929.jpg 1621.jpg 1473.jpg 64.jpg 708.jpg 1623.jpg 1339.jpg 1952.jpg 1297.jpg 1012.jpg 1970.jpg 1364.jpg 128.jpg 1990.jpg 777.jpg 214.jpg 1235.jpg
