Descritpion_ID,Top_20_Image_IDs
152.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
901.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
1609.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
501.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
517.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
1516.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
1822.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
1993.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
405.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
1718.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
874.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
858.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
261.txt,152.jpg 1001.jpg 71.jpg 1237.jpg 380.jpg 505.jpg 1935.jpg 904.jpg 599.jpg 280.jpg 31.jpg 327.jpg 1382.jpg 1119.jpg 977.jpg 1334.jpg 1963.jpg 1184.jpg 1158.jpg 886.jpg
