Descritpion_ID,Top_20_Image_IDs
812.txt,2817.jpg 2806.jpg 8984.jpg 547.jpg 812.jpg 6193.jpg 7717.jpg 1445.jpg 5708.jpg 8954.jpg 9629.jpg 471.jpg 4849.jpg 72.jpg 1588.jpg 9441.jpg 9563.jpg 5211.jpg 2754.jpg 6826.jpg
3399.txt,1879.jpg 8561.jpg 1210.jpg 9386.jpg 4816.jpg 3231.jpg 1470.jpg 2052.jpg 7227.jpg 3187.jpg 9501.jpg 9898.jpg 1082.jpg 2115.jpg 6278.jpg 5655.jpg 7942.jpg 8908.jpg 2942.jpg 6585.jpg
8350.txt,1998.jpg 6610.jpg 8350.jpg 18.jpg 882.jpg 9570.jpg 1609.jpg 3115.jpg 8620.jpg 9774.jpg 6312.jpg 1190.jpg 8244.jpg 1260.jpg 3797.jpg 3973.jpg 9569.jpg 2157.jpg 8636.jpg 1049.jpg
2094.txt,2683.jpg 230.jpg 4102.jpg 6628.jpg 3443.jpg 4346.jpg 9343.jpg 9673.jpg 2094.jpg 2495.jpg 9553.jpg 4919.jpg 2882.jpg 3612.jpg 9005.jpg 7154.jpg 5701.jpg 4825.jpg 3524.jpg 3874.jpg
7506.txt,6800.jpg 548.jpg 7506.jpg 2096.jpg 2671.jpg 5040.jpg 1353.jpg 3238.jpg 9879.jpg 6571.jpg 2936.jpg 4260.jpg 8286.jpg 7753.jpg 2983.jpg 1779.jpg 2987.jpg 6547.jpg 8383.jpg 5972.jpg
6309.txt,5601.jpg 8353.jpg 586.jpg 6731.jpg 4187.jpg 7838.jpg 9401.jpg 5732.jpg 110.jpg 8394.jpg 7443.jpg 3201.jpg 6871.jpg 5852.jpg 6309.jpg 4567.jpg 5152.jpg 5050.jpg 1101.jpg 2635.jpg
3900.txt,5887.jpg 8012.jpg 9648.jpg 3340.jpg 6605.jpg 7397.jpg 463.jpg 9974.jpg 952.jpg 5825.jpg 4782.jpg 1002.jpg 1457.jpg 6392.jpg 6411.jpg 3294.jpg 4594.jpg 9379.jpg 4914.jpg 7947.jpg
3152.txt,2848.jpg 9948.jpg 2935.jpg 79.jpg 1999.jpg 1667.jpg 7108.jpg 265.jpg 3142.jpg 622.jpg 3983.jpg 410.jpg 6183.jpg 652.jpg 7947.jpg 9960.jpg 9617.jpg 8379.jpg 1088.jpg 7280.jpg
5431.txt,7395.jpg 522.jpg 229.jpg 2914.jpg 9446.jpg 4647.jpg 5272.jpg 4675.jpg 9243.jpg 7664.jpg 95.jpg 9917.jpg 8637.jpg 4228.jpg 9736.jpg 7915.jpg 6576.jpg 2475.jpg 6678.jpg 6585.jpg
1607.txt,5460.jpg 7444.jpg 7561.jpg 1607.jpg 6781.jpg 7235.jpg 8995.jpg 7873.jpg 2202.jpg 784.jpg 1001.jpg 4447.jpg 9121.jpg 2897.jpg 3314.jpg 7126.jpg 5309.jpg 9094.jpg 1604.jpg 5743.jpg
1005.txt,1823.jpg 4599.jpg 3684.jpg 1570.jpg 7095.jpg 9437.jpg 4489.jpg 2581.jpg 965.jpg 749.jpg 1576.jpg 4107.jpg 9357.jpg 2221.jpg 4998.jpg 4041.jpg 7233.jpg 2222.jpg 8570.jpg 1324.jpg
998.txt,226.jpg 2276.jpg 5568.jpg 9976.jpg 998.jpg 4358.jpg 9672.jpg 7886.jpg 8113.jpg 3174.jpg 3559.jpg 3177.jpg 6228.jpg 6262.jpg 6168.jpg 7559.jpg 1650.jpg 1003.jpg 7815.jpg 3872.jpg
7847.txt,1543.jpg 7847.jpg 5344.jpg 3688.jpg 7936.jpg 7866.jpg 4913.jpg 1388.jpg 2029.jpg 5539.jpg 8141.jpg 2468.jpg 649.jpg 4479.jpg 6771.jpg 1597.jpg 2965.jpg 7881.jpg 8759.jpg 9687.jpg
2984.txt,9996.jpg 6275.jpg 470.jpg 6996.jpg 6517.jpg 3070.jpg 8075.jpg 6537.jpg 4842.jpg 2358.jpg 4205.jpg 9591.jpg 7930.jpg 1554.jpg 6388.jpg 1337.jpg 8288.jpg 2252.jpg 8906.jpg 2800.jpg
87.txt,1998.jpg 6610.jpg 9570.jpg 18.jpg 9774.jpg 9569.jpg 8350.jpg 1609.jpg 8620.jpg 882.jpg 454.jpg 3115.jpg 3797.jpg 2629.jpg 8636.jpg 9929.jpg 6312.jpg 1260.jpg 6977.jpg 7058.jpg
8637.txt,522.jpg 2914.jpg 7395.jpg 4675.jpg 9243.jpg 229.jpg 4228.jpg 6576.jpg 8637.jpg 6678.jpg 5272.jpg 9917.jpg 4647.jpg 235.jpg 4164.jpg 7664.jpg 7915.jpg 6746.jpg 9736.jpg 1516.jpg
3115.txt,2713.jpg 6507.jpg 5222.jpg 9634.jpg 7816.jpg 5143.jpg 5613.jpg 1609.jpg 8454.jpg 9035.jpg 9779.jpg 9599.jpg 3115.jpg 5545.jpg 5610.jpg 8046.jpg 5788.jpg 784.jpg 87.jpg 1784.jpg
7043.txt,8390.jpg 6910.jpg 290.jpg 8983.jpg 2687.jpg 4445.jpg 7637.jpg 9982.jpg 6548.jpg 7067.jpg 3872.jpg 9859.jpg 7559.jpg 7939.jpg 1003.jpg 1650.jpg 7815.jpg 6228.jpg 9342.jpg 4142.jpg
480.txt,4616.jpg 1167.jpg 2119.jpg 3336.jpg 9330.jpg 6245.jpg 3573.jpg 5385.jpg 1967.jpg 6391.jpg 1265.jpg 5336.jpg 879.jpg 4050.jpg 6188.jpg 4181.jpg 8778.jpg 3288.jpg 9719.jpg 9988.jpg
8735.txt,6143.jpg 4489.jpg 7003.jpg 2222.jpg 8485.jpg 7442.jpg 504.jpg 3158.jpg 25.jpg 6986.jpg 6983.jpg 1346.jpg 2517.jpg 1973.jpg 2694.jpg 47.jpg 4222.jpg 9321.jpg 2251.jpg 7411.jpg
9278.txt,9278.jpg 4540.jpg 818.jpg 4779.jpg 4470.jpg 8693.jpg 1852.jpg 8662.jpg 8036.jpg 9153.jpg 3847.jpg 6703.jpg 642.jpg 5274.jpg 4331.jpg 9932.jpg 5173.jpg 112.jpg 9747.jpg 9369.jpg
7548.txt,4829.jpg 9762.jpg 3181.jpg 9527.jpg 2239.jpg 3761.jpg 5410.jpg 9821.jpg 9293.jpg 217.jpg 6124.jpg 6466.jpg 4571.jpg 498.jpg 9782.jpg 2127.jpg 7213.jpg 7653.jpg 2892.jpg 6570.jpg
3281.txt,5343.jpg 1786.jpg 9855.jpg 1688.jpg 5414.jpg 9610.jpg 7279.jpg 4691.jpg 2256.jpg 6224.jpg 7320.jpg 9889.jpg 5559.jpg 5931.jpg 8192.jpg 5135.jpg 1641.jpg 7427.jpg 4438.jpg 1277.jpg
7057.txt,8298.jpg 8312.jpg 6057.jpg 2118.jpg 5373.jpg 5894.jpg 480.jpg 7945.jpg 9382.jpg 3573.jpg 6373.jpg 3336.jpg 9988.jpg 9784.jpg 6245.jpg 9330.jpg 1967.jpg 4050.jpg 6391.jpg 5385.jpg
6011.txt,8652.jpg 4207.jpg 6011.jpg 4684.jpg 6214.jpg 1657.jpg 9073.jpg 4843.jpg 700.jpg 474.jpg 5461.jpg 6819.jpg 1986.jpg 8663.jpg 2664.jpg 9361.jpg 8258.jpg 340.jpg 9234.jpg 2142.jpg
373.txt,373.jpg 8825.jpg 3810.jpg 3153.jpg 5633.jpg 9823.jpg 6597.jpg 5666.jpg 3602.jpg 5439.jpg 7382.jpg 60.jpg 3044.jpg 5525.jpg 2650.jpg 7871.jpg 9473.jpg 7328.jpg 7512.jpg 5125.jpg
9973.txt,4675.jpg 2914.jpg 4228.jpg 522.jpg 229.jpg 4647.jpg 8637.jpg 9243.jpg 6576.jpg 6375.jpg 5272.jpg 6678.jpg 7664.jpg 4164.jpg 6746.jpg 7064.jpg 976.jpg 7395.jpg 391.jpg 9917.jpg
