Descritpion_ID,Top_20_Image_IDs
152.txt,1292.jpg 1942.jpg 1399.jpg 1446.jpg 597.jpg 1161.jpg 3.jpg 140.jpg 931.jpg 193.jpg 1983.jpg 444.jpg 436.jpg 112.jpg 1982.jpg 290.jpg 352.jpg 1175.jpg 1386.jpg 847.jpg
901.txt,710.jpg 1583.jpg 1766.jpg 1947.jpg 551.jpg 277.jpg 1829.jpg 283.jpg 1666.jpg 195.jpg 1946.jpg 1993.jpg 248.jpg 472.jpg 327.jpg 1387.jpg 477.jpg 1390.jpg 1747.jpg 1884.jpg
1609.txt,1131.jpg 1076.jpg 942.jpg 21.jpg 484.jpg 1136.jpg 1561.jpg 586.jpg 766.jpg 1105.jpg 112.jpg 1535.jpg 978.jpg 1003.jpg 742.jpg 152.jpg 1202.jpg 292.jpg 949.jpg 1451.jpg
501.txt,294.jpg 1668.jpg 1931.jpg 828.jpg 950.jpg 674.jpg 436.jpg 976.jpg 355.jpg 1409.jpg 1631.jpg 182.jpg 360.jpg 851.jpg 215.jpg 635.jpg 1066.jpg 597.jpg 1803.jpg 1435.jpg
517.txt,1531.jpg 876.jpg 462.jpg 1055.jpg 1687.jpg 520.jpg 178.jpg 855.jpg 1649.jpg 1293.jpg 1958.jpg 1419.jpg 1332.jpg 1303.jpg 596.jpg 27.jpg 564.jpg 293.jpg 424.jpg 1495.jpg
1516.txt,1302.jpg 932.jpg 1290.jpg 1534.jpg 1190.jpg 560.jpg 1711.jpg 183.jpg 1703.jpg 1832.jpg 987.jpg 415.jpg 1022.jpg 1469.jpg 1085.jpg 1078.jpg 384.jpg 1363.jpg 836.jpg 1362.jpg
1822.txt,217.jpg 414.jpg 1289.jpg 1151.jpg 897.jpg 655.jpg 718.jpg 1933.jpg 1377.jpg 555.jpg 623.jpg 156.jpg 489.jpg 910.jpg 262.jpg 535.jpg 1444.jpg 1311.jpg 391.jpg 1312.jpg
1993.txt,751.jpg 1784.jpg 1091.jpg 635.jpg 187.jpg 1979.jpg 65.jpg 1474.jpg 851.jpg 1142.jpg 613.jpg 1675.jpg 1099.jpg 875.jpg 608.jpg 1631.jpg 1861.jpg 38.jpg 1985.jpg 108.jpg
405.txt,1980.jpg 1410.jpg 1053.jpg 1627.jpg 93.jpg 647.jpg 305.jpg 723.jpg 92.jpg 1992.jpg 1836.jpg 678.jpg 1705.jpg 698.jpg 222.jpg 1776.jpg 1479.jpg 829.jpg 1883.jpg 105.jpg
1718.txt,1067.jpg 675.jpg 928.jpg 1906.jpg 437.jpg 1998.jpg 662.jpg 1168.jpg 303.jpg 625.jpg 1909.jpg 1464.jpg 990.jpg 660.jpg 1752.jpg 993.jpg 456.jpg 393.jpg 272.jpg 1405.jpg
