Descritpion_ID,Top_20_Image_IDs
1320.txt,824.jpg 6799.jpg 5251.jpg 8587.jpg 8473.jpg 9201.jpg 9262.jpg 1636.jpg 3266.jpg 4385.jpg 7152.jpg 5017.jpg 1258.jpg 3918.jpg 1302.jpg 4250.jpg 8178.jpg 396.jpg 404.jpg 3131.jpg
6902.txt,8438.jpg 379.jpg 3590.jpg 1390.jpg 3430.jpg 5933.jpg 2283.jpg 7621.jpg 9163.jpg 8557.jpg 3818.jpg 3341.jpg 9232.jpg 295.jpg 694.jpg 9361.jpg 4287.jpg 8772.jpg 9660.jpg 1281.jpg
279.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
5005.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
397.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
6206.txt,8438.jpg 379.jpg 3590.jpg 1390.jpg 3430.jpg 5933.jpg 2283.jpg 7621.jpg 9163.jpg 8557.jpg 3818.jpg 3341.jpg 9232.jpg 295.jpg 694.jpg 9361.jpg 4287.jpg 8772.jpg 9660.jpg 1281.jpg
4544.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
5174.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
3816.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
9982.txt,7003.jpg 8607.jpg 7675.jpg 1852.jpg 9108.jpg 9435.jpg 2539.jpg 3692.jpg 1493.jpg 7886.jpg 9588.jpg 276.jpg 9153.jpg 6292.jpg 7227.jpg 9094.jpg 6513.jpg 7547.jpg 4553.jpg 2526.jpg
