Descritpion_ID,Top_20_Image_IDs
152.txt,3.jpg 1344.jpg 1413.jpg 871.jpg 979.jpg 1475.jpg 1094.jpg 323.jpg 609.jpg 1471.jpg 1040.jpg 904.jpg 602.jpg 505.jpg 322.jpg 1902.jpg 1292.jpg 781.jpg 1482.jpg 1366.jpg
901.txt,248.jpg 277.jpg 551.jpg 1387.jpg 1993.jpg 1390.jpg 710.jpg 1829.jpg 1947.jpg 1583.jpg 1946.jpg 775.jpg 1766.jpg 1104.jpg 1747.jpg 283.jpg 472.jpg 327.jpg 679.jpg 166.jpg
1609.txt,1105.jpg 21.jpg 1561.jpg 1131.jpg 1161.jpg 112.jpg 375.jpg 942.jpg 359.jpg 1003.jpg 484.jpg 206.jpg 1005.jpg 1384.jpg 1451.jpg 956.jpg 140.jpg 1629.jpg 79.jpg 1843.jpg
501.txt,741.jpg 436.jpg 1983.jpg 108.jpg 613.jpg 851.jpg 1629.jpg 1957.jpg 1779.jpg 1668.jpg 176.jpg 1161.jpg 86.jpg 0.jpg 635.jpg 956.jpg 313.jpg 809.jpg 1446.jpg 1100.jpg
517.txt,1649.jpg 876.jpg 462.jpg 1055.jpg 178.jpg 1687.jpg 520.jpg 1303.jpg 1293.jpg 855.jpg 27.jpg 1958.jpg 1419.jpg 1531.jpg 293.jpg 424.jpg 1332.jpg 596.jpg 1564.jpg 1198.jpg
1516.txt,1290.jpg 1190.jpg 1534.jpg 1832.jpg 1711.jpg 183.jpg 1302.jpg 560.jpg 1022.jpg 932.jpg 1703.jpg 1078.jpg 415.jpg 1469.jpg 1432.jpg 1363.jpg 1875.jpg 1193.jpg 1210.jpg 10.jpg
1822.txt,217.jpg 1289.jpg 897.jpg 910.jpg 414.jpg 655.jpg 1096.jpg 535.jpg 623.jpg 718.jpg 1312.jpg 1151.jpg 1933.jpg 156.jpg 1311.jpg 583.jpg 1940.jpg 555.jpg 262.jpg 391.jpg
1993.txt,1784.jpg 751.jpg 613.jpg 635.jpg 851.jpg 187.jpg 1985.jpg 1091.jpg 608.jpg 1474.jpg 1142.jpg 1979.jpg 1631.jpg 108.jpg 741.jpg 65.jpg 38.jpg 1386.jpg 924.jpg 839.jpg
405.txt,1980.jpg 1627.jpg 1410.jpg 723.jpg 1053.jpg 93.jpg 698.jpg 1836.jpg 647.jpg 92.jpg 1992.jpg 1705.jpg 106.jpg 561.jpg 309.jpg 678.jpg 1883.jpg 305.jpg 222.jpg 322.jpg
1718.txt,1067.jpg 928.jpg 662.jpg 1906.jpg 675.jpg 1998.jpg 1909.jpg 303.jpg 1168.jpg 990.jpg 437.jpg 1752.jpg 406.jpg 1464.jpg 393.jpg 993.jpg 625.jpg 660.jpg 1493.jpg 1405.jpg
874.txt,1952.jpg 439.jpg 708.jpg 1297.jpg 929.jpg 1339.jpg 1473.jpg 1813.jpg 1307.jpg 1551.jpg 673.jpg 1970.jpg 1012.jpg 1621.jpg 1376.jpg 440.jpg 544.jpg 151.jpg 1401.jpg 1633.jpg
858.txt,1449.jpg 1302.jpg 410.jpg 1491.jpg 1764.jpg 1251.jpg 1220.jpg 1887.jpg 143.jpg 987.jpg 409.jpg 516.jpg 857.jpg 704.jpg 1686.jpg 624.jpg 1905.jpg 907.jpg 1772.jpg 1711.jpg
261.txt,1471.jpg 634.jpg 904.jpg 696.jpg 838.jpg 979.jpg 1084.jpg 322.jpg 124.jpg 781.jpg 1023.jpg 1366.jpg 511.jpg 1413.jpg 663.jpg 1927.jpg 1208.jpg 260.jpg 1292.jpg 159.jpg
1756.txt,1683.jpg 1825.jpg 830.jpg 1631.jpg 1585.jpg 1178.jpg 966.jpg 164.jpg 1858.jpg 206.jpg 1267.jpg 1935.jpg 1597.jpg 1576.jpg 1323.jpg 1099.jpg 1941.jpg 1409.jpg 1374.jpg 1718.jpg
725.txt,1855.jpg 1216.jpg 1607.jpg 1660.jpg 1320.jpg 1874.jpg 771.jpg 814.jpg 429.jpg 1701.jpg 1790.jpg 1584.jpg 1275.jpg 583.jpg 77.jpg 1815.jpg 1311.jpg 1614.jpg 1122.jpg 1693.jpg
1209.txt,398.jpg 1853.jpg 646.jpg 748.jpg 1605.jpg 1508.jpg 399.jpg 1164.jpg 938.jpg 783.jpg 180.jpg 1487.jpg 1460.jpg 680.jpg 1562.jpg 1291.jpg 1662.jpg 1483.jpg 1380.jpg 1739.jpg
1005.txt,664.jpg 1228.jpg 891.jpg 710.jpg 1946.jpg 300.jpg 1993.jpg 362.jpg 581.jpg 404.jpg 459.jpg 1604.jpg 679.jpg 1747.jpg 1425.jpg 327.jpg 403.jpg 551.jpg 982.jpg 279.jpg
1381.txt,1950.jpg 175.jpg 231.jpg 1783.jpg 1927.jpg 1570.jpg 1656.jpg 1847.jpg 724.jpg 1197.jpg 394.jpg 781.jpg 1883.jpg 431.jpg 24.jpg 459.jpg 1611.jpg 1567.jpg 322.jpg 505.jpg
1690.txt,1597.jpg 1161.jpg 112.jpg 150.jpg 608.jpg 1462.jpg 687.jpg 808.jpg 473.jpg 1316.jpg 1941.jpg 1069.jpg 1446.jpg 1243.jpg 1262.jpg 1451.jpg 1231.jpg 265.jpg 1298.jpg 985.jpg
1548.txt,1597.jpg 150.jpg 1099.jpg 112.jpg 687.jpg 1161.jpg 1941.jpg 766.jpg 1201.jpg 265.jpg 1316.jpg 1735.jpg 1843.jpg 601.jpg 1603.jpg 608.jpg 76.jpg 956.jpg 1822.jpg 1451.jpg
1943.txt,1946.jpg 710.jpg 1604.jpg 300.jpg 404.jpg 327.jpg 1104.jpg 664.jpg 1467.jpg 403.jpg 362.jpg 241.jpg 283.jpg 581.jpg 679.jpg 551.jpg 1829.jpg 195.jpg 1993.jpg 1947.jpg
130.txt,1208.jpg 1084.jpg 649.jpg 1471.jpg 904.jpg 979.jpg 1366.jpg 1475.jpg 1292.jpg 1023.jpg 3.jpg 768.jpg 663.jpg 1482.jpg 1413.jpg 634.jpg 184.jpg 260.jpg 1421.jpg 120.jpg
366.txt,1919.jpg 739.jpg 1547.jpg 153.jpg 1553.jpg 633.jpg 1960.jpg 1720.jpg 1330.jpg 224.jpg 192.jpg 110.jpg 981.jpg 55.jpg 1057.jpg 1443.jpg 843.jpg 1788.jpg 950.jpg 290.jpg
1597.txt,1630.jpg 728.jpg 155.jpg 249.jpg 1903.jpg 951.jpg 989.jpg 1132.jpg 1889.jpg 358.jpg 825.jpg 267.jpg 73.jpg 731.jpg 1492.jpg 1971.jpg 1207.jpg 77.jpg 346.jpg 172.jpg
1909.txt,1058.jpg 499.jpg 1422.jpg 1356.jpg 578.jpg 780.jpg 1080.jpg 396.jpg 1873.jpg 1019.jpg 324.jpg 1994.jpg 1964.jpg 671.jpg 1710.jpg 129.jpg 827.jpg 278.jpg 39.jpg 706.jpg
848.txt,1207.jpg 471.jpg 731.jpg 960.jpg 1097.jpg 26.jpg 1215.jpg 249.jpg 825.jpg 1889.jpg 1614.jpg 77.jpg 1145.jpg 1070.jpg 267.jpg 1187.jpg 155.jpg 236.jpg 728.jpg 1630.jpg
207.txt,428.jpg 850.jpg 1824.jpg 331.jpg 1871.jpg 1559.jpg 1989.jpg 1806.jpg 179.jpg 160.jpg 355.jpg 1134.jpg 144.jpg 57.jpg 1110.jpg 587.jpg 529.jpg 1516.jpg 820.jpg 1172.jpg
1795.txt,956.jpg 524.jpg 112.jpg 125.jpg 812.jpg 387.jpg 86.jpg 102.jpg 1983.jpg 396.jpg 1592.jpg 931.jpg 1113.jpg 959.jpg 1873.jpg 1626.jpg 1519.jpg 1478.jpg 1510.jpg 503.jpg
1357.txt,1368.jpg 337.jpg 1634.jpg 1093.jpg 1530.jpg 1479.jpg 1292.jpg 1468.jpg 1872.jpg 808.jpg 901.jpg 60.jpg 1501.jpg 1302.jpg 577.jpg 704.jpg 703.jpg 298.jpg 1617.jpg 761.jpg
131.txt,998.jpg 1296.jpg 1011.jpg 1700.jpg 1479.jpg 82.jpg 1505.jpg 604.jpg 1423.jpg 124.jpg 760.jpg 20.jpg 772.jpg 231.jpg 1581.jpg 1913.jpg 1161.jpg 597.jpg 1231.jpg 1980.jpg
1230.txt,1950.jpg 1783.jpg 175.jpg 394.jpg 634.jpg 1927.jpg 1562.jpg 1144.jpg 781.jpg 24.jpg 124.jpg 231.jpg 838.jpg 904.jpg 1538.jpg 1272.jpg 559.jpg 372.jpg 322.jpg 979.jpg
1482.txt,1857.jpg 1488.jpg 1961.jpg 1270.jpg 685.jpg 1155.jpg 1249.jpg 689.jpg 168.jpg 481.jpg 1328.jpg 1285.jpg 1085.jpg 975.jpg 1239.jpg 1694.jpg 448.jpg 1900.jpg 528.jpg 627.jpg
940.txt,1952.jpg 1473.jpg 439.jpg 708.jpg 1297.jpg 929.jpg 673.jpg 1813.jpg 1339.jpg 1012.jpg 1551.jpg 1307.jpg 1970.jpg 1633.jpg 87.jpg 1621.jpg 1376.jpg 1364.jpg 972.jpg 777.jpg
469.txt,1389.jpg 1336.jpg 1901.jpg 1031.jpg 245.jpg 1197.jpg 1896.jpg 696.jpg 923.jpg 1365.jpg 891.jpg 1927.jpg 1644.jpg 781.jpg 1557.jpg 476.jpg 982.jpg 679.jpg 1348.jpg 459.jpg
560.txt,1640.jpg 1150.jpg 1685.jpg 686.jpg 1140.jpg 1744.jpg 1123.jpg 494.jpg 577.jpg 337.jpg 369.jpg 1193.jpg 1438.jpg 930.jpg 320.jpg 1708.jpg 361.jpg 1463.jpg 103.jpg 901.jpg
427.txt,398.jpg 1164.jpg 748.jpg 399.jpg 1508.jpg 646.jpg 680.jpg 180.jpg 1853.jpg 1605.jpg 938.jpg 1460.jpg 962.jpg 1008.jpg 1291.jpg 1027.jpg 1487.jpg 1211.jpg 1662.jpg 965.jpg
323.txt,331.jpg 1184.jpg 1177.jpg 482.jpg 1068.jpg 850.jpg 538.jpg 160.jpg 885.jpg 1143.jpg 1807.jpg 1408.jpg 80.jpg 428.jpg 1989.jpg 1550.jpg 1714.jpg 1141.jpg 1959.jpg 169.jpg
1198.txt,1710.jpg 1264.jpg 759.jpg 1274.jpg 924.jpg 1545.jpg 578.jpg 1007.jpg 1994.jpg 1356.jpg 454.jpg 39.jpg 1019.jpg 1066.jpg 363.jpg 1378.jpg 707.jpg 1241.jpg 952.jpg 385.jpg
1367.txt,1221.jpg 890.jpg 622.jpg 1182.jpg 9.jpg 876.jpg 548.jpg 1266.jpg 1951.jpg 1293.jpg 596.jpg 816.jpg 713.jpg 293.jpg 1202.jpg 1014.jpg 1986.jpg 462.jpg 424.jpg 483.jpg
1663.txt,144.jpg 1824.jpg 587.jpg 1006.jpg 1871.jpg 428.jpg 1029.jpg 1806.jpg 331.jpg 1408.jpg 1550.jpg 1733.jpg 179.jpg 1809.jpg 238.jpg 1199.jpg 23.jpg 225.jpg 1615.jpg 1959.jpg
1107.txt,1822.jpg 112.jpg 1076.jpg 76.jpg 1316.jpg 1843.jpg 1451.jpg 949.jpg 1025.jpg 1395.jpg 1643.jpg 1161.jpg 1958.jpg 766.jpg 1201.jpg 312.jpg 1003.jpg 1941.jpg 592.jpg 1636.jpg
1551.txt,411.jpg 1737.jpg 154.jpg 1565.jpg 1707.jpg 942.jpg 1015.jpg 1201.jpg 741.jpg 1066.jpg 57.jpg 766.jpg 851.jpg 1172.jpg 586.jpg 882.jpg 1076.jpg 1161.jpg 730.jpg 182.jpg
659.txt,548.jpg 1221.jpg 380.jpg 1324.jpg 622.jpg 890.jpg 1459.jpg 95.jpg 1233.jpg 1015.jpg 1863.jpg 297.jpg 1005.jpg 1951.jpg 1978.jpg 1160.jpg 1161.jpg 1569.jpg 1182.jpg 1986.jpg
1268.txt,1449.jpg 1932.jpg 1491.jpg 624.jpg 143.jpg 798.jpg 1890.jpg 1251.jpg 857.jpg 410.jpg 417.jpg 1157.jpg 1329.jpg 1686.jpg 1589.jpg 1220.jpg 1095.jpg 1841.jpg 987.jpg 1140.jpg
241.txt,499.jpg 1356.jpg 578.jpg 1710.jpg 1422.jpg 780.jpg 396.jpg 324.jpg 1873.jpg 1994.jpg 1058.jpg 1805.jpg 1378.jpg 1019.jpg 1007.jpg 1080.jpg 1964.jpg 39.jpg 827.jpg 278.jpg
350.txt,288.jpg 1634.jpg 337.jpg 703.jpg 1879.jpg 1923.jpg 704.jpg 495.jpg 1613.jpg 29.jpg 35.jpg 577.jpg 1744.jpg 1302.jpg 1368.jpg 1772.jpg 976.jpg 756.jpg 1322.jpg 1140.jpg
1433.txt,21.jpg 1561.jpg 1076.jpg 1451.jpg 1202.jpg 942.jpg 916.jpg 483.jpg 1131.jpg 132.jpg 112.jpg 1316.jpg 949.jpg 1201.jpg 742.jpg 1105.jpg 808.jpg 312.jpg 1003.jpg 1816.jpg
393.txt,191.jpg 1381.jpg 198.jpg 674.jpg 1516.jpg 877.jpg 1735.jpg 1192.jpg 1839.jpg 1477.jpg 1369.jpg 76.jpg 428.jpg 789.jpg 587.jpg 1184.jpg 1316.jpg 1876.jpg 1941.jpg 1643.jpg
691.txt,585.jpg 433.jpg 1431.jpg 1709.jpg 1326.jpg 1678.jpg 205.jpg 701.jpg 1704.jpg 640.jpg 1032.jpg 1111.jpg 725.jpg 1501.jpg 187.jpg 337.jpg 1524.jpg 1093.jpg 1761.jpg 177.jpg
1908.txt,1410.jpg 1980.jpg 1053.jpg 93.jpg 92.jpg 723.jpg 698.jpg 305.jpg 1286.jpg 1627.jpg 647.jpg 1992.jpg 1836.jpg 678.jpg 1705.jpg 1047.jpg 541.jpg 226.jpg 222.jpg 1663.jpg
1012.txt,1207.jpg 1000.jpg 235.jpg 1522.jpg 636.jpg 26.jpg 1215.jpg 1070.jpg 1097.jpg 71.jpg 374.jpg 1765.jpg 1453.jpg 471.jpg 1620.jpg 1187.jpg 1126.jpg 731.jpg 960.jpg 1101.jpg
1115.txt,710.jpg 1947.jpg 327.jpg 1829.jpg 551.jpg 1946.jpg 195.jpg 283.jpg 1104.jpg 404.jpg 1666.jpg 1993.jpg 1604.jpg 241.jpg 1390.jpg 1766.jpg 1467.jpg 1747.jpg 1583.jpg 1884.jpg
618.txt,814.jpg 1913.jpg 1584.jpg 940.jpg 1018.jpg 829.jpg 451.jpg 1404.jpg 358.jpg 1206.jpg 1145.jpg 1312.jpg 29.jpg 1776.jpg 1122.jpg 583.jpg 1701.jpg 977.jpg 1472.jpg 1888.jpg
1780.txt,1633.jpg 684.jpg 74.jpg 1870.jpg 1454.jpg 101.jpg 536.jpg 1602.jpg 522.jpg 1681.jpg 1722.jpg 1520.jpg 1062.jpg 1732.jpg 584.jpg 1036.jpg 1115.jpg 1406.jpg 1445.jpg 1042.jpg
687.txt,424.jpg 876.jpg 1163.jpg 1055.jpg 1564.jpg 178.jpg 293.jpg 1958.jpg 1266.jpg 11.jpg 462.jpg 1293.jpg 1531.jpg 104.jpg 423.jpg 1843.jpg 1303.jpg 1061.jpg 816.jpg 1687.jpg
1481.txt,112.jpg 125.jpg 1963.jpg 812.jpg 956.jpg 132.jpg 1510.jpg 401.jpg 1069.jpg 619.jpg 1384.jpg 1161.jpg 1273.jpg 1592.jpg 1519.jpg 442.jpg 1958.jpg 832.jpg 606.jpg 974.jpg
1973.txt,117.jpg 928.jpg 545.jpg 1930.jpg 523.jpg 1651.jpg 60.jpg 1971.jpg 1067.jpg 873.jpg 705.jpg 1327.jpg 303.jpg 1144.jpg 1487.jpg 1716.jpg 600.jpg 607.jpg 1168.jpg 980.jpg
835.txt,1187.jpg 1207.jpg 1215.jpg 1097.jpg 770.jpg 636.jpg 26.jpg 1620.jpg 1765.jpg 77.jpg 374.jpg 829.jpg 1736.jpg 267.jpg 235.jpg 1101.jpg 1127.jpg 1009.jpg 1070.jpg 750.jpg
723.txt,414.jpg 217.jpg 1377.jpg 718.jpg 1289.jpg 1311.jpg 1655.jpg 897.jpg 535.jpg 489.jpg 623.jpg 1151.jpg 1940.jpg 262.jpg 655.jpg 1933.jpg 996.jpg 583.jpg 899.jpg 429.jpg
1462.txt,1189.jpg 1301.jpg 933.jpg 1552.jpg 145.jpg 824.jpg 275.jpg 1357.jpg 1831.jpg 1128.jpg 884.jpg 737.jpg 750.jpg 716.jpg 715.jpg 1571.jpg 1358.jpg 203.jpg 207.jpg 190.jpg
1341.txt,1292.jpg 1837.jpg 1335.jpg 1693.jpg 1913.jpg 1254.jpg 1630.jpg 814.jpg 1088.jpg 846.jpg 1446.jpg 1533.jpg 1426.jpg 600.jpg 1943.jpg 51.jpg 249.jpg 330.jpg 492.jpg 800.jpg
704.txt,933.jpg 1128.jpg 884.jpg 203.jpg 743.jpg 275.jpg 716.jpg 1301.jpg 737.jpg 1189.jpg 145.jpg 1595.jpg 1152.jpg 1831.jpg 1358.jpg 474.jpg 824.jpg 905.jpg 1571.jpg 1620.jpg
1056.txt,990.jpg 272.jpg 625.jpg 1998.jpg 437.jpg 1630.jpg 1168.jpg 675.jpg 1492.jpg 1903.jpg 1906.jpg 303.jpg 1405.jpg 1067.jpg 1909.jpg 951.jpg 728.jpg 249.jpg 928.jpg 980.jpg
1385.txt,964.jpg 744.jpg 921.jpg 1926.jpg 1213.jpg 1043.jpg 210.jpg 498.jpg 1307.jpg 69.jpg 70.jpg 734.jpg 1434.jpg 1715.jpg 620.jpg 522.jpg 1746.jpg 1602.jpg 1062.jpg 914.jpg
