Descritpion_ID,Top_20_Image_IDs
152.txt,328.jpg 271.jpg 778.jpg 729.jpg 1268.jpg 1834.jpg 1828.jpg 1423.jpg 106.jpg 1719.jpg 873.jpg 767.jpg 775.jpg 1442.jpg 1228.jpg 592.jpg 1555.jpg 1025.jpg 529.jpg 137.jpg
901.txt,1077.jpg 998.jpg 140.jpg 1040.jpg 1142.jpg 1475.jpg 669.jpg 1499.jpg 338.jpg 186.jpg 1533.jpg 1231.jpg 1519.jpg 28.jpg 1339.jpg 1482.jpg 1376.jpg 127.jpg 1107.jpg 42.jpg
1609.txt,476.jpg 523.jpg 539.jpg 1031.jpg 674.jpg 600.jpg 60.jpg 1996.jpg 472.jpg 1089.jpg 1487.jpg 1151.jpg 1896.jpg 496.jpg 1739.jpg 805.jpg 1751.jpg 1040.jpg 1061.jpg 1971.jpg
501.txt,222.jpg 7.jpg 1136.jpg 1726.jpg 601.jpg 12.jpg 1146.jpg 1736.jpg 1110.jpg 529.jpg 1526.jpg 594.jpg 1679.jpg 730.jpg 595.jpg 1791.jpg 723.jpg 1152.jpg 777.jpg 592.jpg
517.txt,1203.jpg 389.jpg 279.jpg 1904.jpg 1696.jpg 1127.jpg 430.jpg 1786.jpg 906.jpg 1548.jpg 1809.jpg 1594.jpg 1571.jpg 1236.jpg 843.jpg 344.jpg 772.jpg 1245.jpg 157.jpg 1643.jpg
1516.txt,1804.jpg 1018.jpg 88.jpg 309.jpg 881.jpg 714.jpg 406.jpg 1284.jpg 166.jpg 1910.jpg 1568.jpg 629.jpg 1727.jpg 1045.jpg 1355.jpg 1063.jpg 114.jpg 137.jpg 1944.jpg 1565.jpg
1822.txt,331.jpg 1871.jpg 242.jpg 1160.jpg 1806.jpg 850.jpg 572.jpg 200.jpg 457.jpg 1068.jpg 4.jpg 1199.jpg 238.jpg 885.jpg 1959.jpg 1278.jpg 1807.jpg 225.jpg 774.jpg 1054.jpg
1993.txt,261.jpg 1975.jpg 859.jpg 920.jpg 203.jpg 1878.jpg 651.jpg 644.jpg 983.jpg 1937.jpg 1524.jpg 969.jpg 1456.jpg 207.jpg 14.jpg 1146.jpg 1560.jpg 7.jpg 303.jpg 928.jpg
405.txt,741.jpg 1100.jpg 76.jpg 108.jpg 1735.jpg 1455.jpg 876.jpg 1283.jpg 587.jpg 1659.jpg 635.jpg 193.jpg 23.jpg 11.jpg 615.jpg 1800.jpg 1246.jpg 572.jpg 552.jpg 1006.jpg
1718.txt,164.jpg 1735.jpg 348.jpg 356.jpg 1643.jpg 150.jpg 1753.jpg 1606.jpg 601.jpg 410.jpg 200.jpg 1110.jpg 1100.jpg 143.jpg 815.jpg 331.jpg 1351.jpg 68.jpg 1856.jpg 939.jpg
874.txt,1168.jpg 244.jpg 1965.jpg 1000.jpg 539.jpg 1501.jpg 1530.jpg 805.jpg 985.jpg 561.jpg 304.jpg 1282.jpg 325.jpg 431.jpg 904.jpg 1227.jpg 3.jpg 1272.jpg 148.jpg 1430.jpg
858.txt,46.jpg 351.jpg 127.jpg 1990.jpg 635.jpg 829.jpg 1498.jpg 1429.jpg 931.jpg 825.jpg 1606.jpg 113.jpg 1565.jpg 871.jpg 252.jpg 619.jpg 1254.jpg 1067.jpg 1219.jpg 940.jpg
